listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/61594.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",85 000 DT,Terrain habitation ind. en vente,Salakta,147 m²,147 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55304.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",145 000 DT,Terrain habitation ind. en vente,Rejiche,259 m²,259 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62286.html,https://cdn-media.medialabtc.it/tn/agencies/mdca3/estates/62286/images/354407/gallery_media.jpeg,372 852 DT,Terrain habitation collective en vente,Rejiche,516 m²,516 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/baghdedi/60224.html,https://cdn-media.medialabtc.it/tn/agencies/moca9/estates/60224/images/354368/gallery_media.jpeg,310 000 DT,S+3 en vente,Baghdedi,4 pièces,99 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62015.html,https://cdn-media.medialabtc.it/tn/agencies/mdca3/estates/62015/images/352405/gallery_media.jpeg,210 000 DT,Terrain habitation ind. en vente,Rejiche,350 m²,350 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62013.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",234 000 DT,Terrain habitation ind. en vente,Rejiche,360 m²,360 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/rejiche/61780.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",140 000 DT,Studio en vente,Rejiche,1 pièce,85 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/chebba/58532.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,S+2 en vente,Chebba,112 m²,112 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/chebba/59599.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",383 000 DT,S+2 en vente,Chebba,402 m²,402 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/56259.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",124 740 DT,Terrain habitation ind. en vente,Chebba,567 m²,567 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/56409.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",48 600 DT,Terrain habitation ind. en vente,Chebba,243 m²,243 m²
