listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61217.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",400 000 DT,S+2 en vente,Nabeul - Nabeul Centre-Ville,3 pièces,125 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61216.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",400 000 DT,S+2 en vente,Nabeul - Nabeul Centre-Ville,3 pièces,120 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61174.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",400 000 DT,S+2 en vente,Nabeul - Nabeul Centre-Ville,3 pièces,128 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/62747.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",600 000 DT,Villa en bande en vente,"Kélibia, Rue de Tripoli",5 pièces,400 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/62839.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",155 000 DT,Etage de villa en vente,"Kélibia, Jinen mansoura",152 m²,152 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/63471.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",280 000 DT,S+2 en vente,Nabeul - Nabeul Centre-Ville,3 pièces,120 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/62024.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",410 000 DT,Triplex en vente,Nabeul - Nabeul Centre-Ville,390 m²,390 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/56365.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",560 000 DT,S+3 en vente,Nabeul - Nabeul Centre-Ville,4 pièces,304 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/60319.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",175 000 DT,S+2 en vente,"Kélibia, Jinen Mansoura",3 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62446.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",180 000 DT,S+2 en vente,"Kélibia, Avenue des nations Unies",2 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62097.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",220 000 DT,S+3 en vente,"Kélibia, Cité Merdes",4 pièces,120 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/nabeul/58259.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",700 000 DT,Villa jumelée en vente,Nabeul - Nabeul Centre-Ville,313 m²,313 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/59939.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/59939/images/336990/gallery_media.jpeg,600 000 DT,S+3 en vente,Nabeul - Nabeul Centre-Ville,4 pièces,200 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/nabeul/62239.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/62239/images/354014/gallery_media.jpeg,400 000 DT,Villa en bande en vente,Nabeul - Nabeul Centre-Ville,76 m²,76 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/59917.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/59917/images/332756/gallery_media.jpeg,370 000 DT,Villa jumelée en vente,"Kélibia, s+3 Jinen el Mansourah",122 m²,122 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/61814.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",950 000 DT,Villa individuelle en vente,"Kélibia, Manzel temime",4 pièces,350 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/59861.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2 100 000 DT,Villa jumelée en vente,"Kélibia, Ain Grenez",650 m²,650 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/59516.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation collective en vente,"Kélibia, Av de L'environnement",1691 m²,1691 m²
https://www.tecnocasa.tn/vendre/terrain/cap-bon/kelibia/60272.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",35 000 DT,Terrain habitation ind. en vente,"Kélibia, Dar Allouch",157 m²,157 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/kelibia/63054.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",260 000 DT,Villa individuelle en vente,"Kélibia, Rue Kelibia",2 pièces,200 m²
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62442.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",295 000 DT,S+3 en vente,"Kélibia, Rue kerkouen",3 pièces,83 m²
https://www.tecnocasa.tn/vendre/villa/cap-bon/nabeul/48654.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",850 000 DT,Villa jumelée en vente,Nabeul - Nabeul Centre-Ville,3 pièces,200 m²
