listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/61645.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",215 460 DT,Terrain agricole en vente,"Sahline, Rue sahline",3591 m²,3591 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/57767.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",585 000 DT,Villa individuelle en vente,Ksar Hellal,2 pièces,410 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/58353.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",255 000 DT,Terrain habitation collective en vente,Ksar Hellal,824 m²,824 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/sahline/61660.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",150 000 DT,S+2 en vente,"Sahline, Rue sahline",1 pièce,105 m²
https://www.tecnocasa.tn/vendre/villa/monastir/ksar-hellal/58766.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",490 000 DT,Villa individuelle en vente,Ksar Hellal,4 pièces,488 m²
https://www.tecnocasa.tn/vendre/villa/monastir/monastir/61561.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",399 000 DT,Villa individuelle en vente,Monastir - Ksibet El Mediouni,3 pièces,500 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/61528.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",195 000 DT,Terrain habitation collective en vente,Ksar Hellal,504 m²,504 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61472.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",108 000 DT,S+1 en vente,"Monastir, Rue C100e - Cité El Omrane",2 pièces,82 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61350.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",92 000 DT,S+2 en vente,"Monastir, Rue frina - Frina",3 pièces,71 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61445.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",140 000 DT,Duplex en vente,"Monastir, Rue chkoll - Monastir Centre-Ville",35 m²,35 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/60707.html,https://cdn-media.medialabtc.it/tn/agencies/moca1/estates/60707/images/340705/gallery_media.jpeg,130 000 DT,S+2 en vente,Monastir - Cité Erriadh,2 pièces,90 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61394.html,https://cdn-media.medialabtc.it/tn/agencies/moca7/estates/61394/images/346513/gallery_media.jpeg,350 000 DT,S+2 en vente,Monastir - Monastir Centre-Ville,2 pièces,99 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61353.html,https://cdn-media.medialabtc.it/tn/agencies/moca2/estates/61353/images/346244/gallery_media.jpeg,92 000 DT,S+2 en vente,"Monastir, Rue frina - Frina",3 pièces,75 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/monastir/61003.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",170 000 DT,S+2 en vente,"Monastir, Cité el omrane - Cité El Omrane",3 pièces,77 m²
https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/51082.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",160 000 DT,Terrain habitation collective en vente,"Sahline, Rue sahline",333 m²,333 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/sahline/53613.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",155 000 DT,S+1 en vente,"Sahline, Rue sahline",2 pièces,75 m²
https://www.tecnocasa.tn/vendre/appartement/monastir/sahline/60109.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",190 000 DT,S+2 en vente,"Sahline, Rue Sahline",2 pièces,130 m²
