id,created_at,title,predicted_price_tnd
740f50a7-568e-461c-b151-cc92712c62f4,2026-04-13T19:44:00.182633+00:00,A Louer un S+2 haut standing à Cité Wahat l'Aouina,319807.0

78d408f3-7978-4333-afdd-cb8ce7bc5457,2026-04-13T19:43:58.397871+00:00,A louer un bel Appartement S+3  au  lac 2,520221.0

b0286a76-00a8-4c7b-9493-3360038b5cff,2026-04-13T19:43:57.027511+00:00,"Rechercher de l'immobilier, des voitures, des smartphones et PCs, et plus sur tayara",310962.0

f235c4b1-41fa-436a-a859-ec77c63745aa,2026-04-13T19:43:54.589856+00:00,À Louer – Espace Bureautique Haut Standing au Lac 2,552714.0

1a7aadae-ae62-4550-8871-13c881da933f,2026-04-13T19:43:51.956431+00:00,Appartements,806207.0

ba5469c9-25ab-4ea7-bb4e-43ed430ffddc,2026-04-13T19:43:49.646731+00:00,Tayara | Achetez et vendre gratuitement près de chez vous,161736.0

ccce9617-b44e-4ad3-9098-e5935adc1acc,2026-04-13T16:40:01.512332+00:00,Bien  en Vente à Cité El Khadra: découvrez dès maintenant les nombreuses annonce,315010.0

8c340cc4-f06a-414a-801c-394c7efa27fc,2026-04-13T16:39:58.180080+00:00,Bien  en Vente à Centre Urbain Nord: découvrez dès maintenant les nombreuses ann,315010.0

03e9da06-009c-4c64-8c38-6e0e331b0193,2026-04-13T16:39:54.954933+00:00,Bien  en Vente à Carthage: découvrez dès maintenant les nombreuses annonces de B,315010.0

5656c1b1-4cb1-4e0d-9d13-714b127594ae,2026-04-13T16:39:51.627624+00:00,Bien  en Vente à Bou Mhel El-Bassatine: découvrez dès maintenant les nombreuses ,315010.0

d74b9d39-733d-4ee4-9e38-a00cd8c886b9,2026-04-13T16:39:48.029146+00:00,Bien  en Vente à Borj Cédria: découvrez dès maintenant les nombreuses annonces d,315010.0

bbbed5ad-0927-4bb0-bd92-7bdb67eaa968,2026-04-13T16:39:44.273521+00:00,Bien  en Vente à Ben Arous: découvrez dès maintenant les nombreuses annonces de ,315010.0

ccf38a37-59b9-4bfd-9c22-48d8d4185311,2026-04-13T16:39:40.480460+00:00,Bien  en Vente à Ariana: découvrez dès maintenant les nombreuses annonces de Bie,315010.0

c69091f8-cae4-406e-85d3-6d7584eab5d5,2026-04-13T16:39:36.967948+00:00,Bien  en Vente à Aouina: découvrez dès maintenant les nombreuses annonces de Bie,315010.0

dc6ffd81-b259-432d-aa52-261e32b8c5a2,2026-04-13T16:39:33.429449+00:00,Bien  en Vente à Ain Zaghouan: découvrez dès maintenant les nombreuses annonces ,315010.0

e7b1c911-909f-4a3c-9b2f-cf070f9a458f,2026-04-13T16:39:29.787746+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

fa2febc3-64e9-4f2e-82d3-14e395fb0595,2026-04-13T16:39:26.482594+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

a92adfd6-d9a4-49bc-8f6d-d5dd405ca983,2026-04-13T16:39:23.075567+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

367e98e3-d662-4dc7-9129-c534a738bebf,2026-04-13T16:39:19.094775+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

8b4a3f1e-44aa-4a5e-a547-01829ecb72eb,2026-04-13T16:39:15.522631+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

73c0adc6-7b9f-4a1d-b04b-018142f17f38,2026-04-13T16:39:11.990985+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

25232b1b-ddf3-4849-aff0-44e942546448,2026-04-13T16:39:08.588873+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

d4ac91ec-bb9b-4668-8194-09f86cfaea31,2026-04-13T16:39:03.855844+00:00,Annonces par Bien en Vente dans la zone de  Grand Tunis. Cherchez parmi des mill,315010.0

14f326d3-342b-4cc3-8bd8-81b387e5fee4,2026-04-13T16:39:00.173580+00:00,Annonces de inmuebles en vente à Grand Tunis et zone,315010.0

64261027-446c-472f-8e59-40a4d84719b7,2026-04-13T16:38:55.874117+00:00,Annonces maisons et appartements à vendre et à louer - Tecnocasa.tn,315010.0

cc1ef580-4374-46a8-96ca-63aae10e62c4,2026-04-13T16:38:50.957916+00:00,"Annonces de biens immobilier pour entreprise et commerce, location et vente de biens immobiliers - Tecnocasa.tn",315010.0

11a59272-b5fe-43d7-a68d-224aabdde8b4,2026-04-13T16:38:45.163815+00:00,Maison in Sousse Medina,774989.0

2497c5bc-5184-4590-bfc2-6be499595767,2026-04-13T16:38:43.408344+00:00,www.tunisie-annonce.com - Gestion des annonces,161736.0

70da757c-a762-44d4-8802-96fa277663dc,2026-04-13T16:38:41.775575+00:00,www.tunisie-annonce.com - Le site des petites annonces,161736.0

2b015a44-c80a-4729-a825-5dd08cc2c477,2026-04-13T16:38:40.207696+00:00,Petites Annonces  Services en Tunisie,315010.0

8640c17a-9056-48ad-a635-bcf1f9806bc7,2026-04-13T16:38:37.188143+00:00,Petites Annonces  Bonnes Affaires en Tunisie,315010.0

20a6a64b-cb91-47de-a304-665f6c9745e6,2026-04-13T16:38:34.263953+00:00,Petites Annonces  Informatique en Tunisie,315010.0

de1c6687-dd9f-4650-983a-486ebac51a58,2026-04-13T16:38:31.399513+00:00,Petites Annonces  Electroménager en Tunisie,315010.0

5c75e2c9-7a46-48d1-a0ce-7bcd47858950,2026-04-13T16:38:28.419630+00:00,Petites Annonces  Image & Son en Tunisie,315010.0

c8d4a01a-55a0-4ac7-bc53-61609aa91add,2026-04-13T16:38:25.089339+00:00,Petites Annonces  Téléphonie en Tunisie,315010.0

7a269807-6035-4a76-a560-eacfc0826485,2026-04-13T16:38:21.920979+00:00,Petites Annonces Emploi en Tunisie - Toutes les offres d'emploi. Déposer votre CV et lettre de motivation,315010.0

58bbf945-2f92-43be-b92b-95af6da7f2ae,2026-04-13T16:38:19.077029+00:00,Petites Annonces Auto/Moto en Tunisie - Voitures d'occasion et neuves | Peugeots | Volkswagen | Renault | Nissan | Fiat | Citroen,315010.0

4fd2627e-cd0f-43d0-8657-ae366732f3c5,2026-04-13T16:38:15.607019+00:00,Petites Annonces Immobilier en Tunisie,315010.0

c5887330-4bcc-4858-8ada-3090ce040adb,2026-04-13T16:38:12.420964+00:00,Petites Annonces Terrain en Tunisie,315010.0

0a498cb2-3711-48eb-a037-c9f322f571a1,2026-04-13T16:38:09.629767+00:00,Petites Annonces Vente en Tunisie,787851.0

00582d90-af20-42e6-88f1-ec7fb7255ead,2026-04-13T16:38:06.713775+00:00,Petites Annonces Location vacances en Tunisie,315010.0

d39f44e0-aec2-48f7-a64e-0c50eedc13ae,2026-04-13T16:38:03.899682+00:00,Petites Annonces Location en Tunisie,552714.0

0823e458-0bf3-4ab6-bb74-251cb473cc6a,2026-04-13T16:38:00.913003+00:00,Petites Annonces Immobilier en Tunisie,552714.0

63627315-af91-403c-9fdf-046398dae20e,2026-04-13T16:37:57.860741+00:00,www.tunisie-annonce.com - Le site des petites annonces,315010.0

fd9d79ed-8507-4979-ba26-c314ebc9db6c,2026-04-13T16:37:55.644772+00:00,Tunisie Annonce :: Immobilier Tunisie TN -  petites annonces gratuites location vente terrain voiture auto moto  emploi immobilier BIZ,787851.0

