listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size,city
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ennasr/54572.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",297 000 DT,S+1 en vente,"Ennasr, Rue Mehrez Chairat - Jardins D'Ennasr",2 pièces,59 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/jardins-de-carthage/57908.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",645 000 DT,S+2 en vente,Jardins de Carthage - Les Jardins De Carthage,3 pièces,129 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/jardins-de-carthage/48166.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",925 000 DT,S+2 en vente,"Jardins de Carthage, Jardins de Carthage - Les Jardins De Carthage",2 pièces,112 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-menzah/57866.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",259 000 DT,S+3 en vente,El Menzah - Menzah 7,4 pièces,110 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ain-zaghouan/58880.html,https://cdn-media.medialabtc.it/tn/agencies/tuhb2/estates/58880/images/323766/gallery_media.jpeg,280 000 DT,S+3 en vente,"Ain Zaghouan, Rue osmane bahri - Ain Zaghouane",4 pièces,120 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/58433.html,https://cdn-media.medialabtc.it/tn/agencies/tuha4/estates/58433/images/324006/gallery_media.jpeg,418 660 DT,Terrain habitation ind. en vente,La Soukra - Chotrana,484 m²,484 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/55006.html,https://cdn-media.medialabtc.it/tn/agencies/tuha9/estates/55006/images/289323/gallery_media.jpeg,380 000 DT,Etage de villa en vente,Ariana - Nouvelle Ariana,441 m²,441 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/lafayette-centre-ville/52826.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",4 000 000 DT,Villa individuelle en vente,Lafayette Centre Ville - Montplaisir,1500 m²,1500 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/58830.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",279 700 DT,S+2 en vente,"Ariana, Avenue Doha - Cité El Ghazala",3 pièces,110 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/el-menzah/50755.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",320 000 DT,S+3 en vente,El Menzah - Menzah 1-4,4 pièces,116 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ennasr/56245.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",490 000 DT,S+2 en vente,Ennasr - Ennasr 2,2 pièces,205 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ennasr/56137.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 100 000 DT,Villa individuelle en vente,Ennasr,6 pièces,411 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-soukra/58271.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",650 000 DT,Villa jumelée en vente,La Soukra - Chotrana,140 m²,140 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/ariana/57225.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",450 000 DT,Villa jumelée en vente,Ariana - Nouvelle Ariana,355 m²,355 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/medina-jedida/58099.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",180 000 DT,S+2 en vente,"Medina Jedida, Medina jedida - Madina Jadida",3 pièces,103 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/la-soukra/41820.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 480 000 DT,Villa individuelle en vente,La Soukra - Chotrana,422 m²,422 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ennasr/56673.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",440 000 DT,S+3 en vente,Ennasr - Ennasr 2,4 pièces,138 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-soukra/50130.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",270 000 DT,S+3 en vente,La Soukra - Borj Louzir,4 pièces,120 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/ariana/56031.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",270 000 DT,S+3 en vente,Ariana - Nouvelle Ariana,4 pièces,130 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/zone-industrielles-nord/51894.html,https://cdn-media.medialabtc.it/tn/agencies/tuha4/estates/51894/images/261479/gallery_media.jpeg,853 600 DT,Terrain habitation ind. en vente,"Zone Industrielles Nord, Impasse Gharbi - Charguia 2",776 m²,776 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/la-marsa/55548.html,https://cdn-media.medialabtc.it/tn/agencies/tugm2/estates/55548/images/312313/gallery_media.jpeg,450 000 DT,Duplex en vente,La Marsa,140 m²,140 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mnihla/57267.html,https://cdn-media.medialabtc.it/tn/agencies/tuch2/estates/57267/images/311895/gallery_media.jpeg,474 300 DT,Terrain habitation ind. en vente,Mnihla,558 m²,558 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/55528.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",366 000 DT,Terrain habitation collective en vente,"Ariana, Cité sahafa - Cité Essahafa",486 m²,486 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/appartement/grand-tunis/jardins-de-carthage/54372.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",339 150 DT,S+1 en vente,"Jardins de Carthage, Jardins de Carthage - Les Jardins De Carthage",2 pièces,59 m²,Grand Tunis
https://www.tecnocasa.tn/vendre/villa/grand-tunis/el-menzah/57010.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1 385 000 DT,Villa individuelle en vente,El Menzah - Menzah 6,528 m²,528 m²,Grand Tunis
